net,length_um
vref_z_p_o[0],8.82
vref_z_p_o[7],8.82
vss_p_o[5],8.82
net27,8.5
_126_,8.45
_007_,8.4
_029_,8.4
vref_z_n_o[3],8.26
vss_n_o[7],8.26
vss_n_o[9],8.26
vss_p_o[2],8.26
vss_p_o[9],8.26
_012_,7.84
_023_,7.84
_077_,7.84
vref_z_n_o[1],7.7
vref_z_n_o[8],7.7
vss_p_o[7],7.7
vss_n_o[10],7.19
vss_n_o[6],7.19
vref_z_p_o[1],7.14
vref_z_p_o[8],7.14
_163_,6.82
_022_,6.72
_036_,6.72
counter\[4\],6.72
vref_z_p_o[2],6.63
vss_p_o[10],6.63
vss_p_o[3],6.63
vss_p_o[6],6.63
_087_,6.16
_205_,6.16
_158_,5.65
_203_,5.09
_078_,5.04
_084_,5.04
_164_,5.04
_167_,5.04
_178_,4.58
_024_,4.53
_109_,4.53
net57,4.53
_005_,4.48
_091_,4.48
_110_,4.48
_181_,4.48
_173_,4.02
_001_,3.92
_019_,3.92
_113_,3.92
_170_,3.92
_208_,3.46
_037_,3.36
_096_,3.36
_162_,3.36
_171_,3.36
_217_,3.36
net4,3.36
_186_,2.9
_003_,2.8
_025_,2.8
_042_,2.8
_100_,2.8
_210_,2.8
_142_,2.29
_079_,2.24
_094_,2.24
_108_,2.24
_174_,2.24
_201_,2.24
_202_,2.24
_035_,1.68
_156_,1.68
_211_,1.68
_216_,1.68
net23,1.68
